id,pubmed_id,bibliography,is_bibliography
18,12213668,"Villablanca A,Wassif WS,Smith T,HÃ¶Ã¶g A,Vierimaa O,Kassem M,Dwight T,Forsberg L,Du Q,Learoyd D,Jones K,Stranks S,Juhlin C,Teh BT,Carling T,Robinson B,Larsson C. Involvement of the MEN1 gene locus in familial isolated hyperparathyroidism. Eur J Endocrinol.. 2002;147(3):313-22.",1
19,12221036,"Dunlop MG, , . Guidance on gastrointestinal surveillance for hereditary non-polyposis colorectal cancer, familial adenomatous polypolis, juvenile polyposis, and Peutz-Jeghers syndrome. Gut.. 2002;51 Suppl 5():V21-7.",1
20,12242432,"Gruber SB,Ellis NA,Scott KK,Almog R,Kolachana P,Bonner JD,Kirchhoff T,Tomsho LP,Nafa K,Pierce H,Low M,Satagopan J,Rennert H,Huang H,Greenson JK,Groden J,Rapaport B,Shia J,Johnson S,Gregersen PK,Harris CC,Boyd J,Rennert G,Offit K. BLM heterozygosity and the risk of colorectal cancer. Science.. 2002;297(5589):2013.",1
21,12393516,"Kutler DI,Singh B,Satagopan J,Batish SD,Berwick M,Giampietro PF,Hanenberg H,Auerbach AD. A 20-year perspective on the International Fanconi Anemia Registry (IFAR). Blood.. 2003;101(4):1249-56.",1
22,12434154,"Carpten JD,Robbins CM,Villablanca A,Forsberg L,Presciuttini S,Bailey-Wilson J,Simonds WF,Gillanders EM,Kennedy AM,Chen JD,Agarwal SK,Sood R,Jones MP,Moses TY,Haven C,Petillo D,Leotlela PD,Harding B,Cameron D,Pannett AA,HÃ¶Ã¶g A,Heath H,James-Newton LA,Robinson B,Zarbo RJ,Cavaco BM,Wassif W,Perrier ND,Rosen IB,Kristoffersson U,Turnpenny PD,Farnebo LO,Besser GM,Jackson CE,Morreau H,Trent JM,Thakker RV,Marx SJ,Teh BT,Larsson C,Hobbs MR. HRPT2, encoding parafibromin, is mutated in hyperparathyroidism-jaw tumor syndrome. Nat Genet.. 2002;32(4):676-80.",1
23,12647800,"Kuroda N,Toi M,Hiroi M,Enzan H. Review of papillary renal cell carcinoma with focus on clinical and pathobiological aspects. Histol Histopathol.. 2003;18(2):487-94.",1
24,12699448,"Pannett AA,Kennedy AM,Turner JJ,Forbes SA,Cavaco BM,Bassett JH,Cianferotti L,Harding B,Shine B,Flinter F,Maidment CG,Trembath R,Thakker RV. Multiple endocrine neoplasia type 1 (MEN1) germline mutations in familial isolated primary hyperparathyroidism. Clin Endocrinol (Oxf).. 2003;58(5):639-46.",1
25,12750283,"van der Heijden MS,Yeo CJ,Hruban RH,Kern SE. Fanconi anemia gene mutations in young-onset pancreatic cancer. Cancer Res.. 2003;63(10):2585-8.",1
26,14641934,"Felderbauer P,Hoffmann P,EinwÃ¤chter H,Bulut K,Ansorge N,Schmitz F,Schmidt WE. A novel mutation of the calcium sensing receptor gene is associated with chronic pancreatitis in a family with heterozygous SPINK1 mutations. BMC Gastroenterol.. 2003;3():34.",1
27,14684699,"Heikkinen K,Karppinen SM,Soini Y,MÃ¤kinen M,Winqvist R. Mutation screening of Mre11 complex genes: indication of RAD50 involvement in breast and ovarian cancer susceptibility. J Med Genet.. 2003;40(12):e131.",1
28,14699510,"Chompret A,Kannengiesser C,Barrois M,Terrier P,Dahan P,Tursz T,Lenoir GM,Bressac-De Paillerets B. PDGFRA germline mutation in a family with multiple cases of gastrointestinal stromal tumor. Gastroenterology.. 2004;126(1):318-21.",1
29,14760276,"Pedreira CC,Savarirayan R,Zacharin MR. IMAGe syndrome: a complex disorder affecting growth, adrenal and gonadal function, and skeletal development. J Pediatr.. 2004;144(2):274-7.",1
30,14981712,"Gleeson JG,Keeler LC,Parisi MA,Marsh SE,Chance PF,Glass IA,Graham JM,Maria BL,Barkovich AJ,Dobyns WB. Molar tooth sign of the midbrain-hindbrain junction: occurrence in multiple distinct syndromes. Am J Med Genet A.. 2004;125A(2):125-34; discussion 117.",1
31,14985373,"Warner J,Epstein M,Sweet A,Singh D,Burgess J,Stranks S,Hill P,Perry-Keene D,Learoyd D,Robinson B,Birdsey P,Mackenzie E,Teh BT,Prins JB,Cardinal J. Genetic testing in familial isolated hyperparathyroidism: unexpected results and their implications. J Med Genet.. 2004;41(3):155-60.",1
32,14996857,"Fletcher O,Easton D,Anderson K,Gilham C,Jay M,Peto J. Lifetime risks of common cancers among retinoblastoma survivors. J Natl Cancer Inst.. 2004;96(5):357-63.",1
33,15042511,"Lammi L,Arte S,Somer M,Jarvinen H,Lahermo P,Thesleff I,Pirinen S,Nieminen P. Mutations in AXIN2 cause familial tooth agenesis and predispose to colorectal cancer. Am J Hum Genet.. 2004;74(5):1043-50.",1
34,15098033,"Vulliamy T,Marrone A,Szydlo R,Walne A,Mason PJ,Dokal I. Disease anticipation is associated with progressive telomere shortening in families with dyskeratosis congenita due to mutations in TERC. Nat Genet.. 2004;36(5):447-9.",1
35,15241338,"Akin C,Metcalfe DD. The biology of Kit in disease and the application of pharmacogenetics. J Allergy Clin Immunol.. 2004;114(1):13-9; quiz 20.",1
36,15279807,"Chun HH,Gatti RA. Ataxia-telangiectasia, an evolving phenotype. DNA Repair (Amst).. ;3(8-9):1187-96.",1
37,15279810,"Taylor AM,Groom A,Byrd PJ. Ataxia-telangiectasia-like disorder (ATLD)-its clinical presentation and molecular basis. DNA Repair (Amst).. ;3(8-9):1219-25.",1
38,15492928,"Cybulski C,GÃ³rski B,Huzarski T,MasojÄ‡ B,Mierzejewski M,Debniak T,Teodorczyk U,Byrski T,Gronwald J,Matyjasik J,Zlowocka E,Lenner M,Grabowska E,Nej K,Castaneda J,Medrek K,SzymaÅ„ska A,SzymaÅ„ska J,Kurzawski G,Suchy J,Oszurek O,Witek A,Narod SA,LubiÅ„ski J. CHEK2 is a multiorgan cancer susceptibility gene. Am J Hum Genet.. 2004;75(6):1131-5.",1
39,15695377,"Couch FJ,Johnson MR,Rabe K,Boardman L,McWilliams R,de Andrade M,Petersen G. Germ line Fanconi anemia complementation group C mutations and pancreatic cancer. Cancer Res.. 2005;65(2):383-6.",1
40,15699726,"Evans DG,Moran A,King A,Saeed S,Gurusinghe N,Ramsden R. Incidence of vestibular schwannoma and neurofibromatosis 2 in the North West of England over a 10-year period: higher incidence than previously thought. Otol Neurotol.. 2005;26(1):93-7.",1
41,15880589,"Molven A,Grimstvedt MB,Steine SJ,Harland M,Avril MF,Hayward NK,Akslen LA. A large Norwegian family with inherited malignant melanoma, multiple atypical nevi, and CDK4 mutation. Genes Chromosomes Cancer.. 2005;44(1):10-8.",1
42,16116422,"Meetei AR,Medhurst AL,Ling C,Xue Y,Singh TR,Bier P,Steltenpool J,Stone S,Dokal I,Mathew CG,Hoatlin M,Joenje H,de Winter JP,Wang W. A human ortholog of archaeal DNA repair protein Hef is defective in Fanconi anemia complementation group M. Nat Genet.. 2005;37(9):958-63.",1
43,16234564,"Begg CB,Orlow I,Hummer AJ,Armstrong BK,Kricker A,Marrett LD,Millikan RC,Gruber SB,Anton-Culver H,Zanetti R,Gallagher RP,Dwyer T,Rebbeck TR,Mitra N,Busam K,From L,Berwick M, . Lifetime risk of melanoma in CDKN2A mutation carriers in a population-based sample. J Natl Cancer Inst.. 2005;97(20):1507-15.",1
44,16258541,"Bell DW,Gore I,Okimoto RA,Godin-Heymann N,Sordella R,Mulloy R,Sharma SV,Brannigan BW,Mohapatra G,Settleman J,Haber DA. Inherited susceptibility to lung cancer may be associated with the T790M drug resistance mutation in EGFR. Nat Genet.. 2005;37(12):1315-6.",1
45,16448984,"Lantieri F,Griseri P,Ceccherini I. Molecular mechanisms of RET-induced Hirschsprung pathogenesis. Ann Med.. 2006;38(1):11-9.",1
46,16461775,"Sieber OM,Segditsas S,Knudsen AL,Zhang J,Luz J,Rowan AJ,Spain SL,Thirlwell C,Howarth KM,Jaeger EE,Robinson J,Volikos E,Silver A,Kelly G,Aretz S,Frayling I,Hutter P,Dunlop M,Guenther T,Neale K,Phillips R,Heinimann K,Tomlinson IP. Disease severity and genetic pathways in attenuated familial adenomatous polyposis vary greatly but depend on the site of the germline mutation. Gut.. 2006;55(10):1440-8.",1
47,16492921,"Jenkins MA,Croitoru ME,Monga N,Cleary SP,Cotterchio M,Hopper JL,Gallinger S. Risk of colorectal cancer in monoallelic and biallelic carriers of MYH mutations: a population-based case-family study. Cancer Epidemiol Biomarkers Prev.. 2006;15(2):312-4.",1
48,16497624,"Felderbauer P,Klein W,Bulut K,Ansorge N,Dekomien G,Werner I,Epplen JT,Schmitz F,Schmidt WE. Mutations in the calcium-sensing receptor: a new genetic risk factor for chronic pancreatitis? Scand J Gastroenterol.. 2006;41(3):343-8.",1
49,16542390,"Stevenson DA,Viskochil DH,Rope AF,Carey JC. Clinical and molecular aspects of an informative family with neurofibromatosis type 1 and Noonan phenotype. Clin Genet.. 2006;69(3):246-53.",1
50,16673358,"Huang S,Lee L,Hanson NB,Lenaerts C,Hoehn H,Poot M,Rubin CD,Chen DF,Yang CC,Juch H,Dorn T,Spiegel R,Oral EA,Abid M,Battisti C,Lucci-Cordisco E,Neri G,Steed EH,Kidd A,Isley W,Showalter D,Vittone JL,Konstantinow A,Ring J,Meyer P,Wenger SL,von Herbay A,Wollina U,Schuelke M,Huizenga CR,Leistritz DF,Martin GM,Mian IS,Oshima J. The spectrum of WRN mutations in Werner syndrome patients. Hum Mutat.. 2006;27(6):558-67.",1
51,16691589,"Bohring A,Oudesluijs GG,Grange DK,Zampino G,Thierry P. New cases of Bohring-Opitz syndrome, update, and critical review of the literature. Am J Med Genet A.. 2006;140(12):1257-63.",1
52,16720667,"Guarnieri V,Scillitani A,Muscarella LA,Battista C,Bonfitto N,Bisceglia M,Minisola S,Mascia ML,D'Agruma L,Cole DE. Diagnosis of parathyroid tumors in familial isolated hyperparathyroidism with HRPT2 mutation: implications for cancer surveillance. J Clin Endocrinol Metab.. 2006;91(8):2827-32.",1
53,16756677,"ValidYN,LastName,ForeName,Initials,AffiliationInfo. Carney complex (CNC). Orphanet J Rare Dis.. 2006;1():21.",1
54,16763388,"Diaz A,Vogiatzi MG,Sanz MM,German J. Evaluation of short stature, carbohydrate metabolism and other endocrinopathies in Bloom's syndrome. Horm Res.. 2006;66(3):111-7.",1
55,16770759,"Steffen J,Nowakowska D,NiwiÅ„ska A,Czapczak D,Kluska A,Piatkowska M,WiÅ›niewska A,Paszko Z. Germline mutations 657del5 of the NBS1 gene contribute significantly to the incidence of breast cancer in Central Poland. Int J Cancer.. 2006;119(2):472-5.",1
56,16825431,"Alter BP,Rosenberg PS,Brody LC. Clinical and molecular features associated with biallelic mutations in FANCD1/BRCA2. J Med Genet.. 2007;44(1):1-9.",1
57,17033622,"Seal S,Thompson D,Renwick A,Elliott A,Kelly P,Barfoot R,Chagtai T,Jayatilake H,Ahmed M,Spanova K,North B,McGuffog L,Evans DG,Eccles D, ,Easton DF,Stratton MR,Rahman N. Truncating mutations in the Fanconi anemia J gene BRIP1 are low-penetrance breast cancer susceptibility alleles. Nat Genet.. 2006;38(11):1239-41.",1
58,17047042,"Goldstein AM,Chan M,Harland M,Gillanders EM,Hayward NK,Avril MF,Azizi E,Bianchi-Scarra G,Bishop DT,Bressac-de Paillerets B,Bruno W,Calista D,Cannon Albright LA,Demenais F,Elder DE,Ghiorzo P,Gruis NA,Hansson J,Hogg D,Holland EA,Kanetsky PA,Kefford RF,Landi MT,Lang J,Leachman SA,Mackie RM,Magnusson V,Mann GJ,Niendorf K,Newton Bishop J,Palmer JM,Puig S,Puig-Butille JA,de Snoo FA,Stark M,Tsao H,Tucker MA,Whitaker L,Yakobson E, . High-risk melanoma susceptibility genes and pancreatic cancer, neural system tumors, and uveal melanoma across GenoMEL. Cancer Res.. 2006;66(20):9818-28.",1
59,17087943,"de Raedt T,Cools J,Debiec-Rychter M,Brems H,Mentens N,Sciot R,Himpens J,de Wever I,SchÃ¶ffski P,Marynen P,Legius E. Intestinal neurofibromatosis is a subtype of familial GIST and results from a dominant activating mutation in PDGFRA. Gastroenterology.. 2006;131(6):1907-12.",1
60,17287723,"Erkko H,Xia B,NikkilÃ¤ J,Schleutker J,SyrjÃ¤koski K,Mannermaa A,Kallioniemi A,PylkÃ¤s K,Karppinen SM,Rapakko K,Miron A,Sheng Q,Li G,Mattila H,Bell DW,Haber DA,Grip M,Reiman M,Jukkola-Vuorinen A,Mustonen A,Kere J,Aaltonen LA,Kosma VM,Kataja V,Soini Y,Drapkin RI,Livingston DM,Winqvist R. A recurrent mutation in PALB2 in Finnish cancer families. Nature.. 2007;446(7133):316-9.",1
61,17368238,"Balaguer F,CastellvÃ­-Bel S,Castells A,Andreu M,MuÃ±oz J,Gisbert JP,Llor X,Jover R,de Cid R,Gonzalo V,Bessa X,Xicola RM,Pons E,Alenda C,PayÃ¡ A,PiquÃ© JM, . Identification of MYH mutation carriers in colorectal cancer: a multicenter, case-control, population-based study. Clin Gastroenterol Hepatol.. 2007;5(3):379-87.",1
62,17392301,"Armanios MY,Chen JJ,Cogan JD,Alder JK,Ingersoll RG,Markin C,Lawson WE,Xie M,Vulto I,Phillips JA,Lansdorp PM,Greider CW,Loyd JE. Telomerase mutations in families with idiopathic pulmonary fibrosis. N Engl J Med.. 2007;356(13):1317-26.",1
63,17392703,"Caux F,Plauchu H,Chibon F,Faivre L,Fain O,Vabres P,Bonnet F,Selma ZB,Laroche L,GÃ©rard M,Longy M. Segmental overgrowth, lipomatosis, arteriovenous malformation and epidermal nevus (SOLAMEN) syndrome is related to mosaic PTEN nullizygosity. Eur J Hum Genet.. 2007;15(7):767-73.",1
64,17539897,"Felton KE,Gilchrist DM,Andrew SE. Constitutive deficiency in DNA mismatch repair. Clin Genet.. 2007;71(6):483-98.",1
65,17545690,"Kaurah P,MacMillan A,Boyd N,Senz J,De Luca A,Chun N,Suriano G,Zaor S,Van Manen L,Gilpin C,Nikkel S,Connolly-Wilson M,Weissman S,Rubinstein WS,Sebold C,Greenstein R,Stroop J,Yim D,Panzini B,McKinnon W,Greenblatt M,Wirtzfeld D,Fontaine D,Coit D,Yoon S,Chung D,Lauwers G,Pizzuti A,Vaccaro C,Redal MA,Oliveira C,Tischkowitz M,Olschwang S,Gallinger S,Lynch H,Green J,Ford J,Pharoah P,Fernandez B,Huntsman D. Founder and recurrent CDH1 mutations in families with hereditary diffuse gastric cancer. JAMA.. 2007;297(21):2360-72.",1
66,17603801,"Boycott KM,Parboosingh JS,Scott JN,McLeod DR,Greenberg CR,Fujiwara TM,Mah JK,Midgley J,Wade A,Bernier FP,Chodirker BN,Bunge M,Innes AM. Meckel syndrome in the Hutterite population is actually a Joubert-related cerebello-oculo-renal syndrome. Am J Med Genet A.. 2007;143A(15):1715-25.",1
67,17667967,"Pasini B,McWhinney SR,Bei T,Matyakhina L,Stergiopoulos S,Muchow M,Boikos SA,Ferrando B,Pacak K,Assie G,Baudin E,Chompret A,Ellison JW,Briere JJ,Rustin P,Gimenez-Roqueplo AP,Eng C,Carney JA,Stratakis CA. Clinical and molecular genetics of patients with the Carney-Stratakis syndrome and germline mutations of the genes coding for the succinate dehydrogenase subunits SDHB, SDHC, and SDHD. Eur J Hum Genet.. 2008;16(1):79-88.",1
68,1770531,"Allanson JE,Upadhyaya M,Watson GH,Partington M,MacKenzie A,Lahey D,MacLeod H,Sarfarazi M,Broadhead W,Harper PS. Watson syndrome: is it a subtype of type 1 neurofibromatosis? J Med Genet.. 1991;28(11):752-6.",1
69,17957789,"Bogdanova N,Feshchenko S,SchÃ¼rmann P,Waltes R,Wieland B,Hillemanns P,Rogov YI,Dammann O,Bremer M,Karstens JH,Sohn C,Varon R,DÃ¶rk T. Nijmegen Breakage Syndrome mutations and risk of breast cancer. Int J Cancer.. 2008;122(4):802-6.",1
70,18042939,"Tai YC,Domchek S,Parmigiani G,Chen S. Breast cancer risk among male BRCA1 and BRCA2 mutation carriers. J Natl Cancer Inst.. 2007;99(23):1811-4.",1
71,18172190,"Weischer M,Bojesen SE,Ellervik C,Tybjaerg-Hansen A,Nordestgaard BG. CHEK2*1100delC genotyping for clinical assessment of breast cancer risk: meta-analyses of 26,000 patient cases and 27,000 controls. J Clin Oncol.. 2008;26(4):542-8.",1
72,18211978,"Pigny P,Vincent A,Cardot Bauters C,Bertrand M,de Montpreville VT,Crepin M,Porchet N,Caron P. Paraganglioma after maternal transmission of a succinate dehydrogenase gene mutation. J Clin Endocrinol Metab.. 2008;93(5):1609-15.",1
73,18234728,"Toro JR,Wei MH,Glenn GM,Weinreich M,Toure O,Vocke C,Turner M,Choyke P,Merino MJ,Pinto PA,Steinberg SM,Schmidt LS,Linehan WM. BHD mutations, clinical and molecular genetic investigations of Birt-Hogg-DubÃ© syndrome: a new series of 50 families and a review of published reports. J Med Genet.. 2008;45(6):321-31.",1
74,18334619,"Schlisio S,Kenchappa RS,Vredeveld LC,George RE,Stewart R,Greulich H,Shahriari K,Nguyen NV,Pigny P,Dahia PL,Pomeroy SL,Maris JM,Look AT,Meyerson M,Peeper DS,Carter BD,Kaelin WG. The kinesin KIF1Bbeta acts downstream from EglN3 to induce apoptosis and is a potential 1p36 tumor suppressor. Genes Dev.. 2008;22(7):884-93.",1
75,18355544,"Ikeda K,Nomori H,Mori T,Sasaki J,Kobayashi T. Novel germline mutation: EGFR V843I in patient with multiple lung adenocarcinomas and family members with lung cancer. Ann Thorac Surg.. 2008;85(4):1430-2.",1
76,18398828,"Watson P,Vasen HFA,Mecklin JP,Bernstein I,Aarnio M,JÃ¤rvinen HJ,MyrhÃ¸j T,Sunde L,Wijnen JT,Lynch HT. The risk of extra-colonic, extra-endometrial cancer in the Lynch syndrome. Int J Cancer.. 2008;123(2):444-449.",1
77,18572020,"Sivagnanam M,Mueller JL,Lee H,Chen Z,Nelson SF,Turner D,Zlotkin SH,Pencharz PB,Ngan BY,Libiger O,Schork NJ,Lavine JE,Taylor S,Newbury RO,Kolodner RD,Hoffman HM. Identification of EpCAM as the gene for congenital tufting enteropathy. Gastroenterology.. 2008;135(2):429-37.",1
78,18579454,"Weese-Mayer DE,Berry-Kravis EM,Ceccherini I,Rand CM. Congenital central hypoventilation syndrome (CCHS) and sudden infant death syndrome (SIDS): kindred disorders of autonomic regulation. Respir Physiol Neurobiol.. 2008;164(1-2):38-48.",1
79,18602922,"Senter L,Clendenning M,Sotamaa K,Hampel H,Green J,Potter JD,Lindblom A,Lagerstedt K,Thibodeau SN,Lindor NM,Young J,Winship I,Dowty JG,White DM,Hopper JL,Baglietto L,Jenkins MA,de la Chapelle A. The clinical phenotype of Lynch syndrome due to germ-line PMS2 mutations. Gastroenterology.. 2008;135(2):419-28.",1
80,18614535,"Munirajan AK,Ando K,Mukai A,Takahashi M,Suenaga Y,Ohira M,Koda T,Hirota T,Ozaki T,Nakagawara A. KIF1Bbeta functions as a haploinsufficient tumor suppressor gene mapped to chromosome 1p36.2 by inducing apoptotic cell death. J Biol Chem.. 2008;283(36):24426-34.",1
81,18670346,"Carney JA,Stratakis CA. Stromal, fibrous, and fatty gastrointestinal tumors in a patient with a PDGFRA gene mutation. Am J Surg Pathol.. 2008;32(9):1412-20.",1
82,18709565,"Wimmer K,Etzler J. Constitutional mismatch repair-deficiency syndrome: have we so far seen only the tip of an iceberg? Hum Genet.. 2008;124(2):105-22.",1
83,18723428,"Owen CJ,Toze CL,Koochin A,Forrest DL,Smith CA,Stevens JM,Jackson SC,Poon MC,Sinclair GD,Leber B,Johnson PR,Macheta A,Yin JA,Barnett MJ,Lister TA,Fitzgibbon J. Five new pedigrees with inherited RUNX1 mutations causing familial platelet disorder with propensity to myeloid malignancy. Blood.. 2008;112(12):4639-45.",1
84,18724359,"MossÃ© YP,Laudenslager M,Longo L,Cole KA,Wood A,Attiyeh EF,Laquaglia MJ,Sennett R,Lynch JE,Perri P,Laureys G,Speleman F,Kim C,Hou C,Hakonarson H,Torkamani A,Schork NJ,Brodeur GM,Tonini GP,Rappaport E,Devoto M,Maris JM. Identification of ALK as a major familial neuroblastoma predisposition gene. Nature.. 2008;455(7215):930-5.",1
85,18728283,"Ricketts C,Woodward ER,Killick P,Morris MR,Astuti D,Latif F,Maher ER. Germline SDHB mutations and familial renal cell carcinoma. J Natl Cancer Inst.. 2008;100(17):1260-2.",1
86,18756473,"Kapoor A,Satishchandra P,Ratnapriya R,Reddy R,Kadandale J,Shankar SK,Anand A. An idiopathic epilepsy syndrome linked to 3q13.3-q21 and missense mutations in the extracellular calcium sensing receptor gene. Ann Neurol.. 2008;64(2):158-67.",1
87,18759107,"Wasielewski M,den Bakker MA,van den Ouweland A,Meijer-van Gelder ME,Portengen H,Klijn JG,Meijers-Heijboer H,Foekens JA,Schutte M. CHEK2 1100delC and male breast cancer in the Netherlands. Breast Cancer Res Treat.. 2009;116(2):397-400.",1
88,18780370,"Alessandri JL,Cuillier F,Ramful D,Ernould S,Robin S,de Napoli-Cocci S,RiviÃ¨re JP,Rossignol S. Perlman syndrome: report, prenatal findings and review. Am J Med Genet A.. 2008;146A(19):2532-7.",1
89,18923523,"Janoueix-Lerosey I,Lequin D,BrugiÃ¨res L,Ribeiro A,de Pontual L,Combaret V,Raynal V,Puisieux A,Schleiermacher G,Pierron G,Valteau-Couanet D,Frebourg T,Michon J,Lyonnet S,Amiel J,Delattre O. Somatic and germline activating mutations of the ALK kinase receptor in neuroblastoma. Nature.. 2008;455(7215):967-70.",1
90,18946494,"Renneville A,Mialou V,Philippe N,Kagialis-Girard S,Biggio V,Zabot MT,Thomas X,Bertrand Y,Preudhomme C. Another pedigree with familial acute myeloid leukemia and germline CEBPA mutation. Leukemia.. 2009;23(4):804-6.",1
91,19205158,"Hartzell LD,McKelvey KD,Van Hemert RL,Dornhoffer J. Cerebellopontine angle tumor in a patient with a maternally inherited SDHD gene mutation. Int Tinnitus J.. 2008;14(2):97-100.",1
92,19245865,"Cleary SP,Cotterchio M,Jenkins MA,Kim H,Bristow R,Green R,Haile R,Hopper JL,LeMarchand L,Lindor N,Parfrey P,Potter J,Younghusband B,Gallinger S. Germline MutY human homologue mutations and colorectal cancer: a multisite case-control study. Gastroenterology.. 2009;136(4):1251-60.",1
93,19265751,"Varga EA,Pastore M,Prior T,Herman GE,McBride KL. The prevalence of PTEN mutations in a clinical pediatric cohort with autism spectrum disorders, developmental delay, and macrocephaly. Genet Med.. 2009;11(2):111-7.",1
94,19293268,"Bertherat J,Horvath A,Groussin L,Grabar S,Boikos S,Cazabat L,Libe R,RenÃ©-Corail F,Stergiopoulos S,Bourdeau I,Bei T,Clauser E,Calender A,Kirschner LS,Bertagna X,Carney JA,Stratakis CA. Mutations in regulatory subunit type 1A of cyclic adenosine 5'-monophosphate-dependent protein kinase (PRKAR1A): phenotype analysis in 353 patients and 80 different genotypes. J Clin Endocrinol Metab.. 2009;94(6):2085-91.",1
95,19357396,"Preudhomme C,Renneville A,Bourdon V,Philippe N,Roche-Lestienne C,Boissel N,Dhedin N,AndrÃ© JM,Cornillet-Lefebvre P,Baruchel A,Mozziconacci MJ,Sobol H. High frequency of RUNX1 biallelic alteration in acute myeloid leukemia secondary to familial platelet disorder. Blood.. 2009;113(22):5583-7.",1
96,19372699,"Li CC,McDonald SD. Increased nuchal translucency and other ultrasound findings in a case of simpson-golabi-behmel syndrome. Fetal Diagn Ther.. 2009;25(2):211-5.",1
