NCCN_OriginalID,Gene,Variant,Organ_System,Gender,Modality,OriginalAction,GuidelineBody,GuidelineName,GuidelineVersion,GuidelineYear ,EntryDate,EntryBy,ModifiedDate,ModifiedBy,IsDeleted,DeleteDate,DeletedBy,,,,,,,,,,,,
16,APC,FAP,UGI,0,Endoscopy,"Duodenal or periampullary cancer: Upper endoscopy (including complete visualization of the ampulla of Vater) starting at around age 20-25 years. Consider baseline upper endoscopy earlier, if family history of aggressive duodenal adenoma burden or cancer. Cap-assisted endoscopy may be adequate for visualization of the ampulla. (Kallenberg F, et al. Endoscopy 2017;49:181-185.)",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
18,APC,FAP,Colorectal,0,Post-Colectomy Endoscopy ," If patient had colectomy with ileorectal anastomosis, then endoscopic evaluation of the rectum every 6-12 months depending on polyp burden.

 If patient had TPC with ileal pouch-anal anastomosis (IPAA), then endoscopic evaluations of the ileal pouch and rectal cuff annually depending on polyp burden. Surveillance frequency should be shortened to every 6 months for large, flat polyps with villous histology and/or high-grade dysplasia identified.

If patient had an ileostomy, consider careful visualization and stoma inspection by ileoscopy to evaluate for polyps or malignancy annually; evidence to support this recommendation is limited.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
20,MUTYH,Biallelic ,Colorectal,0,Post-Colectomy Endoscopy ,"If patient had colectomy with IRA, then endoscopic evaluation of the rectum every 6-12 months depending on polyp burden.
 ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
21,APC,FAP,Small Bowel,0,Screening,"High-level evidence to support routine small bowel screening distal to the duodenum is lacking. However, may consider small bowel visualization (e.g., capsule endoscopy), especially if advanced duodenal polyposis.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
23,APC,FAP,CNS,0,Physical Examination,Patients should be educated regarding signs and symptoms of neurologic cancer and the importance of prompt reporting of abnormal symptoms to their physicians.,NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
25,APC,FAP,Desmoid,0,Screening,"Suggestive abdominal symptoms should prompt immediate abdominal imaging. If personal history of symptomatic desmoids, consider imaging with abdominal MRI with and without contrast or CT with contrast no less frequently than annually. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
27,APC,FAP,Liver,0,Screening,"High-level evidence to support routine hepatoblastoma screening is lacking. However, may consider liver palpation, abdominal ultrasound, and measurement of AFP every 3-6 months during the first 5 years of life.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
29,APC,FAP,Pancreas,0,Screening,"High-level evidence to support routine pancreatic screening is lacking. However, screening may be individualized based on family history of pancreatic cancer.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
31,APC,FAP,Stomach,0,Gastrectomy,"Fundic gland polyps occur in a majority of FAP patients, and focal low-grade dysplasia can occur but is typically non-progressive. The risk of gastric cancer in FAP patients appears to be increased in patients from geographic areas with high gastric cancer risk and may be elevated in the setting of certain endoscopic findings, including carpeting of fundic gland polyps, solitary polyps larger than 20 mm, and mounds of polyps. High-risk histologic features include tubular adenomas, polyps with high-grade dysplasia, and pyloric gland adenomas. Need for specialized surveillance or surgery should be considered in presence of high-risk histologic features, preferably at a center of expertise. Presence of fundic gland polyps with low-grade dysplasia alone in the absence of high-risk features does not require specialized surveillance. 

Patients with high-risk lesions that cannot be removed endoscopically should be referred to a specialized center for consideration of gastrectomy. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
33,APC,FAP,Colorectal,0,Personal Cancer Management,"If cancer found, see appropriate NCCN Guidelines for Treatment by Cancer Type. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
34,APC,AFAP,Colorectal,0,Personal Cancer Management,"If cancer found, see appropriate NCCN Guidelines for Treatment of Cancer by Site",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
36,APC,FAP,Colorectal,0,Chemoprevention," Chemoprevention may be considered to facilitate management of the remaining rectum or pouch post-surgery in select patients with progressive polyp burden (e.g., based on size, number, and pathology). There are no FDA-approved medications for this indication at present. While there are data to suggest that sulindac is the most potent polyp regression medication, it is not known if the decrease in polyp burden decreases cancer risk. Patients interested in chemoprevention may consider referral to an expert center and enrollment in a clinical trial.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
38,APC,AFAP,Colorectal,0,Chemoprevention,"Chemoprevention may be considered to facilitate management of the remaining rectum or pouch post-surgery in select patients with progressive polyp burden (e.g., based on size, number, and pathology). There are no FDA-approved medications for this indication at present. While there are data to suggest that sulindac is the most potent polyp regression medication, it is not known if the decrease in polyp burden decreases cancer risk. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/12/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
39,ASXL1,,General,0,Gene Insight,"Malformation syndrome characterized by severe intrauterine growth retardation, poor feeding, profound mental retardation, trigonocephaly, prominent metopic suture, exophthalmos, nevus flammeus of the face, upslanting palpebral fissures, hirsutism, and flexion of the elbow and wrists with deviation of the wrists and metacarpophalangeal joints.",NCCN,Wilms Tumor,2.2022,2022,10/19/2022,Krista Ortega,,,,,,,,,,,,,,,,,
40,ASXL1,,Kidney,0,Ultrasound,The Pediatric Cancer Working Group of the American Association for Cancer Research recommends renal US every 3 months up to age 8 years.,NCCN,Wilms Tumor,2.2022,2022,10/19/2022,Krista Ortega,,,,,,,,,,,,,,,,,
41,ATM,,Breast,2,Imaging,"Annual mammogram at age 40 y and consider breast MRI with contrast starting at age 30-35 y. 
May be modified based on family history (typically beginning screening 5-10 years earlier than the youngest diagnosis in the family but not later than stated in the table or specific gene P/LP variant. 
For patients with P/LP variants who are treated for breast cancer and have not had bilateral mastectomy, screening should continue as described. 
The use of MRI in these patients depends on a number of risk factors, including family history, age, breast density, and patient preference. ",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
42,ATM,,Breast,2,Risk Reducing Mastectomy,"Risk reduction: Evidence insufficient for risk-reducing mastectomy (RRM), manage based on family history.",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
44,ATM,,Ovary,2,Risk Reducing Salpingo-Oophorectomy,Risk reduction: Evidence insufficient for risk-reducing salpingo oophorectomy (RRSO); manage based on family history.,NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
45,ATM,,Ovary,2,Screening,"Transvaginal ultrasound combined with serum CA-125 for ovarian cancer screening, although of uncertain benefit, may be considered at the clinician's discretion.",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
46,ATM,,Pancreas,0,Imaging,"Consider pancreatic cancer screening beginning at age 50 years (or 10 years younger than the earliest exocrine pancreatic cancer diagnosis in the family, whichever is earlier) for individuals with exocrine pancreatic cancer in >=1 first- or second-degree relatives from the same side of (or presumed to be from the same side of) the family as the identified pathogenic/likely pathogenic germline variant. Abe T, et al. J Clin Oncol 2019;37:1070-1080. 
For individuals considering pancreatic cancer screening, the panel recommends that screening be performed in experienced high-volume centers. The panel recommends that such screening only take place after an in-depth discussion about the potential limitations to screening, including cost, the high incidence of pancreatic abnormalities, and uncertainties about the potential benefits of pancreatic cancer screening. Consider screening using annual contrast-enhanced MRI/MRCP and/or EUS, with consideration of shorter screening intervals, based on clinical judgment, for individuals found to have worrisome abnormalities on screening. The panel emphasizes that most small cystic lesions found on screening will not warrant biopsy, surgical resection, or any other intervention.",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
47,ATM,,General,0,Gene Insight,Heterozygous ATM P/LP variants should not lead to a recommendation to avoid radiation therapy at this time. ,NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
48,ATM,,Colorectal,0,Endoscopy,"Evidence insufficient to provide specialized CRC screening recommendations, manage based on family history. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
49,ATM,,Prostate,1,Referral,"If there is a known or suspected cancer susceptibility gene, referral to a cancer genetics professional is recommended.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
55,PMS2,,Prostate,1,Referral,"If there is a known or suspected cancer susceptibility gene, referral to a cancer genetics professional is recommended.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
57,MSH2,,Prostate,1,Referral,"If there is a known or suspected cancer susceptibility gene, referral to a cancer genetics professional is recommended.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
58,MSH6,,Prostate,1,Referral,"If there is a known or suspected cancer susceptibility gene, referral to a cancer genetics professional is recommended.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
63,HOXB13,,Prostate,1,Referral,"If there is a known or suspected cancer susceptibility gene, referral to a cancer genetics professional is recommended.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
64,BRCA1,,Prostate,1,Referral,"Individuals with mutations in genes associated with a high risk for prostate cancer can consider PSA screening every year beginning at age 40, and digital rectal examination at the time of PSA. This screening is recommended for individuals with BRCA2 mutations.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
65,BRCA2,,Prostate,1,Referral,"If there is a known or suspected cancer susceptibility gene, referral to a cancer genetics professional is recommended.",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
66,ATM,,Prostate,1,Screening,"Family of personal history of high-risk germline mutations can inform when to begin shared decision-making regarding prostate cancer early detection. Mutation carriers have an increased risk of prostate cancer before age 65 years, and prostate cancer in individuals with germline BRCA2 or HOXB13 mutations occurs earlier and is more likely to be associated with prostate cancer mortality. For individuals with ATM germline gene mutation timing of testing is less clear. Consequently, prostate cancer screening is recommended at age 40 years for BRCA2 carriers, and it is reasonable for individuals with other germline mutations to consider beginning shared decision-making about PSA screening at age 40 years and to consider screening at annual intervals rather than every other year. ",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
80,HOXB13,,Prostate,1,Screening,"Family of personal history of high-risk germline mutations can inform when to begin shared decision-making regarding prostate cancer early detection. Mutation carriers have an increased risk of prostate cancer before age 65 years, and prostate cancer in individuals with germline BRCA2 or HOXB13 mutations occurs earlier and is more likely to be associated with prostate cancer mortality. Consequently, prostate cancer screening is recommended at age 40 years for BRCA2 carriers, and it is reasonable for individuals with other germline mutations to consider beginning shared decision-making about PSA screening at age 40 years and to consider screening at annual intervals rather than every other year. ",NCCN,Prostate Cancer Early Detection,1.2022,2022,10/19/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
81,BRCA1,,Prostate,1,Screening,"Starting at age 40 years, consider prostate cancer screening for BRCA1 carriers. ",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
82,BRCA2,,Prostate,1,Screening,"Starting at age 40 years, recommend prostate cancer screening for BRCA2 carriers. ",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
83,AXIN2,,Colorectal,0,Screening,"Begin high-quality colonoscopy at age 25-30 y and repeat every 2-3 y if negative. If polyps are found, high-quality colonoscopy every 1-2 y with consideration of surgery if the polyp burden becomes unmanageable by colonoscopy. Surgical evaluation if appropriate. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
84,AXIN2,,General,0,Genotype-Phenotype Correlation,"Associated with oligodontia (absence of >6 adult non-wisdom teeth) and other features of cartilage hair hypoplasia. Polymorphisms in this gene have also been associated with CRC and other cancers, but this entry is referring to individuals with pathogenic/likely pathogenic variants in AXIN2.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
85,BAP1,,General,0,Gene Insight,"Syndrome: BAP1 tumor predisposition syndrome (TPDS). Histology: clear cell, chromophobe. Inheritance Pattern: Autosomal Dominant. Major Clinical Manifestations: melanoma (uveal and cutaneous), kidney cancer, mesothelioma. Other specialists Involved in Screening: dermatology, ophthalmology, thoracic oncology.",NCCN,Kidney Cancer,3.2023,2022,10/14/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
86,BAP1,,Kidney,0,Imaging,"Abdominal MRI (preferred) or CT with and without IV contrast every 2 y starting at age 30 y. If there is a family member with an early diagnosis, screening should begin 10 y before earliest age of diagnosis in family member. Star P, Goodwin A, Kapoor R, et al. Germline BAP1-positive patients: the dilemmas of cancer surveillance and a proposed interdisciplinary consensus monitoring strategy. Eur J Cancer 2018;92:48-53.",NCCN,Kidney Cancer,3.2023,2022,10/14/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
87,BAP1,,Kidney,0,Surgical Recommendation,No specific guidelines in surgical management for this syndrome. Preoperative alert: Patients with a suspected or known diagnosis of PGL/PCC or VHL are at increased risk of PCCs and hsould have blood and/or urine screening for this prior to any surgical procedure. ,NCCN,Kidney Cancer,3.2023,2022,10/14/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
88,BAP1,,Kidney,2,Pregnancy Considerations,Females of childbearing age who are planning conception should consider renal imaging prior to pregnancy.,NCCN,Kidney Cancer,3.2023,2022,10/14/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
89,BARD1,,Breast,2,Screening,"Annual mammogram with consider breast MRI with contrast starting at age 40 years. May be modified based on family history (typically beginning screening 5-10 years earlier than the youngest diagnosis in the family but not later than stated in the table) or specific gene pathogenic/likely pathogenic variant. For women with pathogenic/likely pathogenic variants who are treated for breast cancer and have not had bilateral mastectomy, screening should continue as described.",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
90,BARD1,,Ovary,2,General,No established association.,NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
91,BLM,Monoallelic,Colorectal,0,Screening,"Evidence insufficient to provide specialized CRC screening recommendations, manage based on family history. ",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
92,BMPR1A,,Colorectal,0,Endoscopy,"Initiation: 12-15 years. Endoscopy should be initiated at an earlier age or repeated more frequently if signs/symptoms of GI blood loss. High-quality colonoscopy with polypectomy: If polyps are found, repeat every 2-3 years. Shorter intervals may be indicated based on polyp size, number and pathology. If no polyps, then resume at 18 years. At 18 years, high-quality colonoscopy every 1-3 years. Intervals should be based on polyp size, number, and pathology.
 
 If polyp burden or polyp-related symptoms (i.e., anemia) cannot be controlled endoscopically or prevent optimal surveillance for cancer considerations should be given to colectomy.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
93,BMPR1A,,General,0,Referral,"For patients who meet clinical criteria for JPS or with a pathogenic variant in BMPR1A or SMAD4, we recommend referral to a specialized team and encourage participation in any available clinical trials.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
94,BMPR1A,,Small Bowel,0,Screening,"Lifetime Risk: Rare, undefined.
 
 No recommendations have been made.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
95,BMPR1A,,Stomach,0,Endoscopy,"Initiation: 12-15 years. Upper Endoscopy with polypectomy: If polyps are found, repeat every 2-3 years. Shorter intervals may be indicated based on polyp size, number, and pathology. If no polyps, then resume at 18 years. At 18 years, resume upper endoscopy every 1-3 years. Intervals should be based on polyp size, number, and pathology.
 
 If polyp burden or polyp-related symptoms (i.e., anemia) cannot be controlled endoscopically or prevents optimal surveillance for cancer, consideration should be given to gastrectomy.
 
 BMRP1A pathogenic variant carriers may have a less severe upper gastrointestinal tract phenotype and
 may merit lengthened surveillance intervals in the absence of polyps. Gastric cancer risk for BMPR1A pathogenic variant carriers may be lower than for SMAD4 pathogenic variant carriers. Latchford A, et al. Dis Colon Rectum 2012;55:1038-1043. Aytac E, et al. Br J Surg 2015;102:114- 118.",NCCN,Genetic/Familial High-Risk Assessment: Colorectal,1.2022,2022,10/13/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
96,BRCA1,,Breast,1,Examination,"Clinical breast exam, every 12 months, starting at age 35 years.",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
97,BRCA1,,Ovary,2,Risk Reducing Salpingo-Oophorectomy,"Recommend RRSO, typically between 35 and 40 years, and upon completion of childbearing. 
Counseling includes a discussion of reproductive desires, extent of cancer risk, degree of protection for breast and ovarian cancer, management of menopausal symptoms, hormone replacement therapy, and related medical issues. Salpingectomy alone is not the standard of care for risk reduction, although clinical trials of interval salpingectomy and delayed oophorectomy are ongoing. The concern for risk-reducing salpingectomy alone is that women are still at risk for developing ovarian cancer. In addition, in premenopausal women, oophorectomy likely reduces the risk of developing breast cancer but the magnitude is uncertain and may be gene-specific.
Given the high rate of occult neoplasms, special attention should be given to sampling and pathologic review of the ovaries and fallopian tubes. ",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
98,BRCA1,,Reproductive,0,Family Planning,"For individuals of reproductive age, advise about options for prenatal diagnosis and assisted reproduction including pre-implantation genetic diagnosis. Discussion should include known risks, limitations, and benefits of these technologies. There are rare reports of compound heterozygous or homozygous P/LP BRCA1 variants causing Fanconi anemia complementation group S (FANCS). FANCS is characterized by developmental delay apparent from infancy, short stature, microcephaly, and coarse dysmorphic features. It is associated with defective DNA repair and increased chromosomal breakage.",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
99,BRCA1,,Uterine,2,Risk Reducing Hysterectomy,"Limited data suggest that there may be a slightly increased risk of serous uterine cancer among individuals with a BRCA1 pathogenic/likely pathogenic variant. The clinical significance of these findings is unclear. Further evaluation of the risk of serous uterine cancer in the BRCA population needs to be undertaken. The provider and patient should discuss the risks and benefits of concurrent hysterectomy at the time of RRSO for women with a BRCA1 pathogenic/likely pathogenic variant prior to surgery. Individuals who undergo hysterectomy at the time of RRSO are candidates for estrogen-alone hormone replacement therapy, which is associated with a decreased risk of breast cancer compared to combined estrogen and progesterone, which is required when the uterus is left in situ (Chlebowski R, et al. JAMA Oncol 2015;1:296-305). HRT recommendations should be tailored depending on each patient's personal history of breast cancer and/or breast cancer risk reduction strategies. HRT is a consideration for premenopausal patients who do not carry a diagnosis of breast cancer or have other contraindications for HRT. 
Address psychosocial and quality-of-life aspects of undergoing RRSO. Consider preoperative menopause management consultation if patient is still premenopausal at time of RRSO. ",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
100,BRCA1,,Breast,2,Imaging,"Age 25-29 years, annual breast MRI screening with contrast (or mammogram, only if MRI is unavailable) or individualized based on family history if a breast cancer diagnosis before age 30 is present. 
Age 30-75 years, annual mammogram and breast MRI screening with contrast. 
Age >75 years, management should be considered on an individual basis. 
For individuals with a BRCA pathogenic/likely pathogenic variant who are treated for breast cancer and have not had a bilateral mastectomy, screening with annual mammogram and breast MRI should continue as described above. 
The appropriateness of imaging modalities and scheduling is still under study. Lehman CD, et al. J Natl Cancer Inst 2016;108.
The criteria for high-quality breast MRI include a dedicated breast coil, the ability to perform biopsy under MRI guidance, radiologists experienced in breast MRI, and regional availability. Breast MRI is preferably performed on days 7-15 of a menstrual cycle for premenopausal patients. FDA identifies no harmful effects to date with brain retention of gadolinium-based contrast agents for MRIs; review to continue.  Breast MRI is preferred due to the theoretical risk of radiation exposure in pathogenic/likely pathogenic variant carriers. ",NCCN,"Genetic/Familial High-Risk Assessment: Breast, Ovarian, and Pancreatic",1.2023,2022,10/17/2022,Brenna Bentley,,,,,,,,,,,,,,,,,
